manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Mazda,3,Active,2014,3,200000,1.5,120,Gasoline,Automatic,FWD,Blue,29000
Mazda,3,Active,2005,3,250000,1.6,105,Gasoline,Automatic,FWD,Light blue,2900
Mazda,3,Spirit,2020,3,90000,2.0,165,Gasoline,Automatic,FWD,Black,90000
Mazda,3,Spirit,2021,2,99000,2.0,165,Gasoline,Automatic,FWD,Silver,85000
Mazda,3,Sport,2018,2,184306,2.0,165,Gasoline,Automatic,FWD,Black,49999
Mazda,Cx 5,Luxury,2013,4,155000,2.0,155,Gasoline,Automatic,FWD,White,49990
Mazda,3,Comfort,2010,3,257500,1.6,105,Gasoline,Automatic,FWD,Red,19000
Mazda,3,Active,2009,3,203000,1.6,105,Gasoline,Automatic,FWD,Silver,16000
Mazda,3,Comfort,2017,3,174000,1.5,120,Gasoline,Automatic,FWD,Grey,42500
Mazda,Cx 3,Urban,2022,1,57000,1.5,116,Gasoline,Automatic,FWD,White,94990
Mazda,3,Active,2009,3,220000,1.6,105,Gasoline,Automatic,FWD,Silver,7600
Mazda,2,Dynamic,2008,3,108000,1.5,103,Gasoline,Automatic,FWD,Red,20000
Mazda,6,Premium,2008,4,279000,2.5,170,Gasoline,Automatic,FWD,White,11000
Mazda,Cx 5,Signature,2022,1,49000,2.5,194,Gasoline,Automatic,AWD,Black,149990
Mazda,2,Active,2008,3,284000,1.5,103,Gasoline,Automatic,FWD,Blue,9900
Mazda,3,Active,2010,4,260000,1.6,105,Gasoline,Automatic,FWD,Silver,12000
Mazda,3,Active,2008,2,250000,1.6,105,Gasoline,Automatic,FWD,White,9000
Mazda,2,Dynamic,2022,2,92500,1.5,116,Gasoline,Automatic,FWD,Silver,74000
Mazda,6,Executive,2009,4,279000,2.0,147,Gasoline,Automatic,FWD,Silver,13500
Mazda,6,Premium Plus,2013,3,215000,2.5,188,Gasoline,Automatic,FWD,Grey,33000
Mazda,6,Executive,2009,4,210000,2.0,147,Gasoline,Automatic,FWD,Grey,13850
Mazda,Cx 5,Executive,2020,3,75000,2.0,165,Gasoline,Automatic,FWD,White,110000
Mazda,2,Dynamic,2021,2,64000,1.5,116,Gasoline,Automatic,FWD,White,60000
Mazda,3,,2010,1,175000,2.0,150,Gasoline,Automatic,FWD,Grey,27000
Mazda,2,Active,2010,3,220000,1.5,103,Gasoline,Automatic,FWD,Black,15000
Mazda,3,Sport,2018,2,141000,2.0,165,Gasoline,Automatic,FWD,Silver,65000
Mazda,Cx 3,Urban,2023,1,52000,1.5,116,Gasoline,Automatic,FWD,Red,95990
Mazda,3,Premium,2023,1,70000,2.0,165,Gasoline,Automatic,FWD,White,139000
Mazda,3,Black Edition,2022,1,97000,2.0,165,Gasoline,Automatic,FWD,White,99990
Mazda,3,Active,2014,2,260000,1.5,120,Gasoline,Automatic,FWD,Silver,22000
Mazda,6,Luxury,2008,4,217000,2.0,147,Gasoline,Automatic,FWD,Silver,10499
Mazda,2,Demio Comfort,2016,2,189000,1.5,111,Gasoline,Automatic,FWD,Silver,33000
Mazda,3,Active,2007,4,294000,1.6,105,Gasoline,Automatic,FWD,Silver,6500
Mazda,3,Active,2010,2,200000,1.6,105,Gasoline,Automatic,FWD,Blue,11500
Mazda,3,Spirit,2009,2,250000,2.0,150,Gasoline,Automatic,FWD,Black,16000
Mazda,3,,2009,4,300000,1.6,105,Gasoline,Automatic,FWD,Grey,7500
Mazda,2,Dynamic,2017,1,64000,1.5,111,Gasoline,Automatic,FWD,Grey,73000
Mazda,Cx 5,Executive,2019,1,159000,2.0,165,Gasoline,Automatic,FWD,Black,87000
Mazda,3,Spirit,2008,3,245000,2.0,150,Gasoline,Automatic,FWD,Silver,11000
Mazda,3,Spirit,2021,1,69000,2.0,165,Gasoline,Automatic,FWD,White,84900
Mazda,Cx 5,Executive,2023,1,89000,2.0,165,Gasoline,Automatic,FWD,Black,121000
Mazda,3,Comfort,2006,2,235000,1.6,105,Gasoline,Automatic,FWD,Silver,11000
Mazda,3,Spirit,2007,3,213000,2.0,150,Gasoline,Automatic,FWD,Black,9000
Mazda,3,Active,2005,3,370000,1.6,105,Gasoline,Automatic,FWD,Grey,5500
Mazda,Cx 30,Executive,2020,2,123700,2.0,165,Gasoline,Automatic,FWD,White,83000
Mazda,3,Comfort,2009,4,207500,1.6,105,Gasoline,Automatic,FWD,Black,13000
Mazda,3,Active,2005,4,240000,1.6,105,Gasoline,Automatic,FWD,Blue,4200
Mazda,Cx 30,Comfort,2022,2,127150,2.0,165,Gasoline,Automatic,FWD,White,85000
Mazda,5,Executive,2010,3,250000,2.0,145,Gasoline,Automatic,FWD,Silver,13000
Mazda,2,Active,2010,2,206000,1.5,103,Gasoline,Automatic,FWD,Golden,12500
Mazda,3,Active,2014,2,270000,1.5,120,Gasoline,Automatic,FWD,White,28000
Mazda,3,Spirit,2021,2,122000,2.0,165,Gasoline,Automatic,FWD,Black,77000
Mazda,3,Sport,2019,2,173000,2.0,165,Gasoline,Automatic,FWD,Black,62300
Mazda,3,Spirit,2013,4,137000,2.0,165,Gasoline,Automatic,FWD,Silver,27500
Mazda,6,Signature,2021,3,159000,2.5,195,Gasoline,Automatic,FWD,White,120000
Mazda,3,Premium,2017,2,176000,2.0,165,Gasoline,Automatic,FWD,Silver,58000
Mazda,Cx 5,Executive,2024,2,18000,2.0,165,Gasoline,Automatic,FWD,Silver,127000
Mazda,3,Active,2006,4,160000,1.6,105,Gasoline,Automatic,FWD,Silver,9000
Mazda,2,Active,2008,3,284000,1.5,103,Gasoline,Automatic,FWD,Blue,9900
Mazda,3,Active,2010,4,260000,1.6,105,Gasoline,Automatic,FWD,Silver,12000
Mazda,Cx 5,Executive,2020,2,108000,2.0,165,Gasoline,Automatic,FWD,White,105000
Mazda,3,Active,2008,2,250000,1.6,105,Gasoline,Automatic,FWD,White,9000
Mazda,2,Dynamic,2022,0,118000,1.5,116,Gasoline,Automatic,FWD,Silver,77000
Mazda,2,Dynamic,2022,2,92500,1.5,116,Gasoline,Automatic,FWD,Silver,74000
Mazda,6,Executive,2009,4,279000,2.0,147,Gasoline,Automatic,FWD,Silver,13500
Mazda,3,Spirit,2023,1,50000,2.0,165,Gasoline,Automatic,FWD,Black,120000
Mazda,6,Premium Plus,2013,3,215000,2.5,188,Gasoline,Automatic,FWD,Grey,33000
Mazda,6,Executive,2009,4,210000,2.0,147,Gasoline,Automatic,FWD,Grey,13850
Mazda,Cx 5,Executive,2020,3,75000,2.0,165,Gasoline,Automatic,FWD,White,110000
Mazda,2,Dynamic,2021,2,64000,1.5,116,Gasoline,Automatic,FWD,White,60000
Mazda,Cx 5,Executive,2022,1,106260,2.0,165,Gasoline,Automatic,FWD,Silver,120000
Mazda,3,,2010,1,175000,2.0,150,Gasoline,Automatic,FWD,Grey,27000
Mazda,6,Luxury,2013,3,240000,2.0,155,Gasoline,Automatic,FWD,White,22000
Mazda,3,Active,2011,2,164000,1.6,105,Gasoline,Automatic,FWD,Grey,17000
Mazda,Cx 5,,2022,1,56000,2.5,194,Gasoline,Automatic,FWD,Black,147000
Mazda,Cx 3,Urban,2023,1,21000,1.5,116,Gasoline,Automatic,FWD,Blue,115000
Mazda,323,LX,2002,4,242000,1.6,105,Gasoline,Automatic,FWD,White,5000
Mazda,Cx 30,Comfort,2024,2,14580,2.0,165,Gasoline,Automatic,FWD,White,130000
Mazda,323,LX,2003,3,259316,1.6,105,Gasoline,Automatic,FWD,Beige,4500
Mazda,3,,2009,2,215000,1.6,105,Gasoline,Automatic,FWD,Beige,10000
Mazda,Cx 5,Luxury,2016,3,100000,2.0,165,Gasoline,Automatic,FWD,White,65000
Mazda,3,Spirit,2021,2,77000,2.0,165,Gasoline,Automatic,FWD,Black,85000
Mazda,5,Executive,2014,2,196000,2.0,144,Gasoline,Automatic,FWD,Silver,36500
