manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Audi,A1,,2015,4,175000,1.4,122,Gasoline,Robotic,FWD,White,40000
Audi,A1,,2020,2,53000,1.0,116,Gasoline,Robotic,FWD,White,115000
Audi,Q2,,2018,3,107000,1.0,116,Gasoline,Robotic,FWD,White,70000
Audi,Q5,,2016,3,113000,2.0,230,Gasoline,Automatic,AWD,White,64990
Audi,Q5,Tech Pack,2018,1,98000,2.0,252,Gasoline,Robotic,AWD,Black,138000
Audi,A4,40 TFSI Advanced,2021,3,80000,2.0,204,Gasoline,Robotic,FWD,White,120000
Audi,Q7,Luxury,2011,3,175000,3.0,272,Gasoline,Automatic,AWD,White,64000
Audi,Q7,,2012,3,142000,3.0,272,Gasoline,Automatic,AWD,Black,76000
Audi,Q5,Quattro,2010,3,200000,2.0,211,Gasoline,Automatic,AWD,White,28000
Audi,S3,,2014,4,172000,2.0,290,Gasoline,Robotic,AWD,White,95000
Audi,A5,,2016,2,270000,1.8,144,Gasoline,Variable,FWD,Silver,65000
Audi,A5,,2010,2,100000,1.8,160,Gasoline,Variable,FWD,Black,85000
Audi,Q3,Luxury,2016,4,108000,2.0,180,Gasoline,Robotic,AWD,White,77000
Audi,A3,Luxury,2018,3,130000,1.4,204,Plug,Robotic,FWD,White,124000
Audi,A3,Design Limited Luxe,2019,1,91000,2.0,190,Gasoline,Robotic,FWD,White,115000
Audi,Q5,Limited,2017,4,121000,2.0,230,Gasoline,Automatic,AWD,Black,75000
Audi,Q5,Quattro,2010,4,225000,2.0,211,Gasoline,Automatic,AWD,White,50000
Audi,A4,Executive,2015,1,116000,1.8,120,Gasoline,Variable,FWD,Silver,60000
Audi,Q5,Luxury,2011,3,162000,2.0,211,Gasoline,Automatic,AWD,White,42000
Audi,A3,,2017,2,118000,1.4,150,Gasoline,Robotic,FWD,White,60000
Audi,Q3 Sportback,,2023,1,36500,1.4,245,Plug,Robotic,FWD,Black,255000
Audi,Q3,Executive,2016,2,180000,1.4,150,Gasoline,Robotic,FWD,Grey,74000
Audi,A3,,2022,1,54000,1.5,150,Gasoline,Robotic,FWD,Black,152000
Audi,Q7,,2010,1,380000,3.0,204,Diesel,Automatic,AWD,Black,50000
Audi,Q3,Luxury,2017,1,79800,1.4,150,Gasoline,Robotic,FWD,White,90000
Audi,A5,,2018,1,106000,2.0,190,Gasoline,Robotic,FWD,White,130000
Audi,A3,Luxury,2018,3,130000,1.4,204,Plug,Robotic,FWD,White,124000
Audi,A3,Design Limited Luxe,2019,1,91000,2.0,190,Gasoline,Robotic,FWD,White,115000
Audi,Q5,Limited,2017,4,121000,2.0,230,Gasoline,Automatic,AWD,Black,75000
Audi,Q5,Quattro,2010,4,225000,2.0,211,Gasoline,Automatic,AWD,White,50000
Audi,A4,Executive,2015,1,116000,1.8,120,Gasoline,Variable,FWD,Silver,60000
Audi,Q5,Luxury,2011,3,162000,2.0,211,Gasoline,Automatic,AWD,White,42000
Audi,A3,,2017,2,118000,1.4,150,Gasoline,Robotic,FWD,White,60000
Audi,Q3 Sportback,,2023,1,36500,1.4,245,Plug,Robotic,FWD,Black,255000
Audi,Q3,Executive,2016,2,180000,1.4,150,Gasoline,Robotic,FWD,Grey,74000
Audi,A3,,2022,1,54000,1.5,150,Gasoline,Robotic,FWD,Black,152000
Audi,Q7,Luxury,2018,1,129000,3.0,272,Diesel,Automatic,AWD,Black,185000
Audi,Q5,,2011,4,252900,2.0,170,Diesel,Robotic,AWD,Black,51500
Audi,Q3,Basis,2019,2,100000,1.4,150,Gasoline,Robotic,FWD,White,103000
Audi,Q5,Executive,2016,2,160000,2.0,230,Gasoline,Automatic,AWD,Silver,100000
Audi,E Tron,,2019,1,55000,,408,Electro,Automatic,AWD,Grey,258000
Audi,Q7,Premium,2018,2,120000,3.0,374,Plug,Automatic,AWD,White,220000
Audi,A8,,2012,2,140000,3.0,290,Gasoline,Automatic,AWD,Black,60000
Audi,Q7,Luxury,2011,3,175000,3.0,272,Gasoline,Automatic,AWD,White,64000
Audi,Q7,,2012,3,142000,3.0,272,Gasoline,Automatic,AWD,Black,76000
Audi,Q5,Quattro,2010,3,200000,2.0,211,Gasoline,Automatic,AWD,White,28000
Audi,S3,,2014,4,172000,2.0,290,Gasoline,Robotic,AWD,White,95000
Audi,A5,,2016,2,270000,1.8,144,Gasoline,Variable,FWD,Silver,65000
Audi,A5,,2010,2,100000,1.8,160,Gasoline,Variable,FWD,Black,85000
Audi,Q3,Luxury,2016,4,108000,2.0,180,Gasoline,Robotic,AWD,White,77000
Audi,Tt,,2002,4,213000,1.8,180,Gasoline,Manual,FWD,Blue,59900
Audi,E Tron Sportback,,2021,1,40000,,408,Electro,Automatic,AWD,White,370000
Audi,A1,,2020,1,30000,1.0,116,Gasoline,Robotic,FWD,White,110000
Audi,Tt,,2002,4,213000,1.8,180,Gasoline,Manual,FWD,Blue,59900
Audi,E Tron Sportback,,2021,1,40000,,408,Electro,Automatic,AWD,White,370000
Audi,A1,,2020,1,30000,1.0,116,Gasoline,Robotic,FWD,White,110000
Audi,A6,,2009,3,210000,2.8,190,Gasoline,Variable,FWD,Green,19000
Audi,A3,Ambition,2008,4,240000,2.0,200,Gasoline,Robotic,FWD,Grey,16000
Audi,Q2,Assistance,2020,1,44500,1.5,150,Gasoline,Robotic,FWD,Black,126000
Audi,A6,,2012,3,200000,2.8,204,Gasoline,Variable,FWD,Black,40000
Audi,Q2,Design Assistance,2020,2,110000,1.4,150,Gasoline,Robotic,FWD,White,110000
Audi,Q5,Luxury,2014,3,185000,2.0,225,Gasoline,Automatic,AWD,White,69000
Audi,A4,40 TFSI Advanced,2021,1,97000,2.0,204,Gasoline,Robotic,FWD,Grey,155000
Audi,A8,,2011,3,147000,3.0,290,Gasoline,Automatic,AWD,Grey,55000
Audi,Q3,Luxury,2013,3,150000,2.0,170,Gasoline,Robotic,AWD,White,63000
Audi,Q3,Limited,2018,1,100000,2.0,180,Gasoline,Robotic,AWD,White,110000
Audi,Q7,,2017,4,210000,3.0,272,Diesel,Automatic,AWD,White,190000
Audi,Q8,Premium,2019,3,80000,3.0,286,Diesel,Automatic,AWD,Black,299000
Audi,A4,,2010,4,187000,1.8,120,Gasoline,Variable,FWD,White,25900
Audi,Q5,Executive,2016,2,105000,2.0,230,Gasoline,Automatic,AWD,Black,102000
Audi,Q7,Luxury,2016,3,187000,3.0,272,Diesel,Automatic,AWD,Black,150000
Audi,Q3,Luxury,2012,4,190000,2.0,211,Gasoline,Robotic,AWD,Grey,49000
Audi,A3,A3 Sportback S-Line Sharp,2022,2,8450,1.5,150,Gasoline,Robotic,FWD,Black,180000
Audi,A3,Luxury,2018,3,130000,1.4,204,Plug,Robotic,FWD,White,124000
Audi,A3,Design Limited Luxe,2019,1,91000,2.0,190,Gasoline,Robotic,FWD,White,115000
Audi,Q5,Limited,2017,4,121000,2.0,230,Gasoline,Automatic,AWD,Black,75000
Audi,Q5,Quattro,2010,4,225000,2.0,211,Gasoline,Automatic,AWD,White,50000
Audi,A4,Executive,2015,1,116000,1.8,120,Gasoline,Variable,FWD,Silver,60000
Audi,Q5,Luxury,2011,3,162000,2.0,211,Gasoline,Automatic,AWD,White,42000
